account,date,closed_pnl,size_usd,trade_count,classification,loss_flag,next_day_pnl,profit_bucket
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-25,-18956.391598000002,4484.771379310345,29,Extreme Greed,1,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-26,0.0,961.5796153846154,26,Greed,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-27,0.0,681.8109090909091,22,Greed,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-28,0.0,588.2223529411765,17,Greed,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-29,0.0,999.9485714285714,7,Greed,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-30,0.0,486.4764864864865,37,Greed,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-31,0.0,625.6752083333333,48,Extreme Greed,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-01,0.0,773.4088888888889,18,Greed,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-02,0.0,1333.3373333333334,30,Greed,0,13770.715332,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-03,13770.715332,355.00016806722687,119,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-04,0.0,676.7046666666666,45,Greed,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-05,0.0,599.9928,25,Neutral,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-06,0.0,470.57411764705876,17,Neutral,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-07,0.0,666.651111111111,9,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-08,0.0,999.984,5,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-09,0.0,137.93471264367815,87,Neutral,0,24.634532000000036,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-10,24.634532000000036,698.8723529411765,85,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-11,0.0,769.2253846153847,13,Neutral,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-12,0.0,1086.9421739130435,23,Neutral,0,-3556.3882559999997,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-13,-3556.3882559999997,947.7369565217392,46,Neutral,1,8781.96,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-14,8781.96,2726.2494855305467,311,Neutral,0,35346.87108,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-15,35346.87108,2418.771340782123,179,Neutral,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-16,0.0,3333.296666666667,3,Neutral,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-17,0.0,2503.1749999999997,6,Neutral,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-18,0.0,1923.0538461538463,13,Neutral,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,0.0,882.3423529411765,17,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-20,0.0,1129.0251612903226,31,Neutral,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-21,0.0,657.8865789473684,38,Greed,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-23,0.0,1249.98,4,Neutral,0,8698.883848,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-25,8698.883848,641.0223076923077,39,Fear,0,2225.835732,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-26,2225.835732,4999.92,1,Extreme Fear,0,3309.75,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-28,3309.75,714.2857142857143,7,Extreme Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-02,0.0,2499.975,2,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-03,0.0,624.99375,8,Fear,0,6939.47356,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-04,6939.47356,937.494375,16,Extreme Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-07,0.0,12499.980833333333,12,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-08,0.0,2631.5215789473687,38,Fear,0,3677.4965580000003,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-09,3677.4965580000003,999.99,5,Fear,0,4297.3227640000005,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-10,4297.3227640000005,3928.565714285714,14,Extreme Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-11,0.0,624.9925000000001,8,Extreme Fear,0,-2493.849701,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-12,-2493.849701,4999.932727272728,11,Fear,1,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-13,0.0,1891.8805405405406,37,Neutral,0,584.05178,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-14,584.05178,9999.89,1,Fear,0,763.755281,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-15,763.755281,2222.1133333333332,18,Neutral,0,8368.226125000001,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-16,8368.226125000001,2856.945714285714,7,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-17,0.0,1527.7720833333333,72,Fear,0,0.0,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-18,0.0,1274.653559322034,59,Fear,0,3036.68886,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-03-19,3036.68886,1511.8720183486237,109,Fear,0,652.062115,1
